Product ID,Name,Price,Product Sub ID,Stock,Stock warning,Track inventory,Inventory rule,Items in stock on attr. level
"B7NSA115P0","Necklace and Earring Set with Round Shaped Pendant Patterns Ideal For Weddings and Formal Events","144.99000","","1","0","Yes","Hide","",
"B7NSA116P0","Oval Shaped Necklace and Earring Pendant Pattern Ideal For Formal Events","93.99000","","1","0","Yes","Hide","",
"B7NSA117P0","Small Round Shaped Crystal Pendant Necklace and Earring Set For Formal Events","140.99000","","1","0","Yes","Hide","",
"B7NSA140P0","Cubic Zirconia Necklace and Earring Set with Round Pendant Patterns Ideal for Weddings","399.99000","","1","0","Yes","OutOfStock","",
"B7NSA141P0","Round Shaped Crystal Necklace with Small Round Pendant Patterns Around Necklace and Earring Set Ideal For Weddings","44.99000","","1","0","Yes","Hide","",
"B7NSA142P0","Heart Shaped Necklace and Earrings Set For Formal Events and Weddings","58.99000","","1","0","Yes","Hide","",
"b7nsa152p0","Hanging Cubic Zirconia in a Line Necklace and Earrings to Match","59.99000","","1","0","Yes","Hide","",
"b7nsa155p0","Flower Shaped Central Pendant on Necklace and Hanging Pear Shaped Earrings","69.99000","","1","0","Yes","Hide","",
"b7nsa156p0","Oval Cubic Zirconia in a Flower Shape on Necklace and Earring Set","64.99000","","1","0","Yes","Hide","",
"b7pla001p0","Red Swarovski Crystal Brooches","25.99000","","1","1","Yes","OutOfStock","",
"b7pla002p0","Grey Swarovski Crystal Brooches","25.99000","","1","1","Yes","OutOfStock","",
"b7pla003p0","Purple Swarovski Crystal Brooches","25.99000","","1","1","Yes","OutOfStock","",
"b7pla004p0","Swarovski Crystal Brooches Green","25.99000","","1","1","Yes","OutOfStock","",
"b7pla005p0","Swarovski Crystal Brooches Blue","25.99000","","1","1","Yes","OutOfStock","",
"b7pla006g0","Swarovski Crystal Brooches Yellow","25.99000","","1","1","Yes","OutOfStock","",
"b7pla007p0","Red Swarovski Crystal Brooches with Double-Open Petal Flower Design","21.99000","","1","1","Yes","OutOfStock","",
"b7pla008p0","Black Swarovski Crystal Brooches with Double-Open Petal Flower Design","21.99000","","1","1","Yes","OutOfStock","",
"b7pla009p0","Swarovski Crystal Brooches with Double-Open Petal Flower Design White","21.99000","","1","1","Yes","OutOfStock","",
"b7pla010g0","Yellow Swarovski Crystal Brooches with Double-Open Petal Flower Design","21.99000","","1","1","Yes","OutOfStock","",
"b7pla011p0","Blue Swarovski Crystal Brooches with Double-Open Petal Flower Design","21.99000","","1","1","Yes","OutOfStock","",
"b7pla012p0","Brown Swarovski Crystal Brooches with Double-Open Petal Flower Design","21.99000","","1","1","Yes","OutOfStock","",
"b7pla013p0","Rose Oval Shape Swarovski Crystal Brooches with Multi Pendant Design","54.99000","","1","1","Yes","OutOfStock","",
"b7pla014p0","Blue Oval Shape Swarovski Crystal Brooches with Multi Pendant Design","54.99000","","1","1","Yes","OutOfStock","",
"b7pla015g0","Orange Oval Shape Swarovski Crystal Brooches with Multi Pendant Design","54.99000","","1","1","Yes","OutOfStock","",
"b7pla016p0","Purple Oval Shape Swarovski Crystal Brooches with Multi Pendant Design","54.99000","","1","1","Yes","OutOfStock","",
"b7pla017p0","Green Oval Shape Swarovski Crystal Brooches with Multi Pendant Design","54.99000","","1","1","Yes","OutOfStock","",
"b7pla018p0","Pink Triple Oval Brooch Design with Swarovski Element Crystals","53.99000","","1","1","Yes","OutOfStock","",
"b7pla019p0","White Triple Oval Brooch Design with Swarovski Element Crystals","53.99000","","1","1","Yes","OutOfStock","",
"b7pla020p0","Red Triple Oval Brooch Design with Swarovski Element Crystals","53.99000","","1","1","Yes","OutOfStock","",
"b7pla021g0","Pink Triple Oval Brooch Design with Swarovski Element Crystals","42.99000","","1","1","Yes","OutOfStock","",
