sku	asin	price	quantity
JM127A	B00NACNJAI	28.99	1
JM131A	B00NACNN5O	35.99	1
JM134-2A	B00NACNT12	26.99	1
JM135-1A	B00NACNUJI	26.99	1
JM137-2A	B00NACNW4Q	23.99	1
JM138-5A	B00NACO0OW	29.99	1
JM139A	B00NACO1Z0	25.99	1
JM145-1A	B00NACO3AS	28.99	1
JM145-3A	B00NACO6T6	28.99	1
JM160-3A	B00NACOC0O	23.99	1
JM160-4A	B00NACODO4	23.99	1
JM223-1A	B00NACOH7W	31.99	1
JM249A	B00NACORR2	28.99	1
JM88-1A	B00NACOHMM	53.99	1
JM88A	B00NACOFSS	53.99	1
JM89-1A	B00NACOL9G	69.99	1
JM89-2A	B00NACONL2	69.99	1
JM89-3A	B00NACOPJC	69.99	1
JM89A	B00NACOJRU	69.99	1
JM93A	B00NACOSE4	62.99	1
Jd0017-4	B00PBJJ2HM	47.99	1
Jd0036-1	B00PBJJ3VM	41.99	12
Jd0036-3	B00PBJJ51U	41.99	17
Jd0070-5	B00PBJJ6AK	35.99	1
Jd0094-1	B00PBJJ7HC	40.99	13
Jd0122-2	B00PBJJA6U	41.99	16
Jd0122a-1	B00PBJJBUK	35.99	4
Jd0123-1	B00PBJJF0G	41.99	1
Jd0190-1	B00PBJJGNC	22.99	15
Jd0201-1	B00PBJJKMY	23.99	8
Jd0273-1	B00PBJJOMK	32.99	9
Jd0273-4	B00PBJJRJA	32.99	10
Jd0283-1	B00PBJJT0W	26.99	1
Jd0284-2	B00PBJJULK	38.99	3
Jd0285-1	B00PBJJWN6	43.99	4
Jd0285-2	B00PBJJY70	43.99	3
Jd0285-3	B00PBJJZL0	43.99	5
Jd0287-1	B00PBJJ1UK	43.99	4
Jd0292-1	B00PBJJ39Y	44.99	8
Jd0292-2	B00PBJJ4ES	44.99	7
Jd0298-1	B00PBJJ85I	43.99	17
Jd0298-2	B00PBJJ9H0	43.99	21
Jd0298-3	B00PBJJB0U	43.99	16
Jd0309-2	B00PBJJF60	49.99	4
Jd0320-1	B00PBJJI1C	53.99	5
Jd0343-1	B00PBJJJIE	20.99	4
Jd0344-1	B00PBJJKWY	21.99	4
Jd0344-2	B00PBJJMGI	21.99	1
Jd0351-1	B00PBJJNR6	32.99	17
Jd0351-2	B00PBJJPFG	32.99	29
Jd0362-1	B00PBJJTK2	38.99	4
Jd0362-2	B00PBJJUOC	38.99	6
Jd0364-1	B00PBJJVVY	38.99	1
Jd0364-4	B00PBJJZ38	38.99	7
KA-4EH5-O47I	B004S2YAOS	49.99	1
KE-4AL9-90DT	B00FZJAJU2	36.99	1
M2-ZPVY-H32M	B004S3RS50	119.99	6
M5BGA001G0	B00T3K4VYY	19.99	1
M5BGA002G0	B00T3KNW2G	39.99	1
M5BGA004B0	B00T3L79ZG	29.99	1
M5BGA005G0	B00T3LK8GI	39.99	1
M5BGA006G0	B00T3LQYA2	35.99	1
M5CTJ001G0	B00RUB0NQI	932.99	1
M5CTJ002G0	B00RUB0TUS	932.99	1
M5CTJ003G0	B00RUB17LS	495.99	1
M5CTJ004G0	B00RUB1LFA	471.99	1
M5CTJ005G0	B00RUB221C	471.99	1
M5CTJ006B0	B00RUB2B0Y	757.99	1
M5CTJ007G0	B00RUB2MD0	932.99	1
M5CTJ008G0	B00RUB39PU	932.99	1
M5CTJ009G0	B00RUB3OEQ	618.99	1
M5CTJ011G0	B00RUB4QAC	868.99	1
M5CTJ012G0	B00RUB50MK	864.99	2
M5CTJ013G0	B00RUB5LQU	474.99	3
M5CTJ014G0	B00RUB64WK	930.99	2
M5CTJ015A0	B00RUB6WJ0	930.99	2
M5CTJ016G0	B00RUB7N0W	930.99	2
